group	module_no	p-value-rank	log2foldRatio	# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
ALL	29	47	6.11	GO:0006090	BP	e	pyruvate metabolic process	3/15	60/20424	1.0694701832824905e-05	7	3	0.003051752972999981	ENSG00000074800, ENSG00000102144, ENSG00000111640
ALL	29	48	6.087	GO:0009179	BP	e	purine ribonucleoside diphosphate metabolic process	3/15	61/20424	1.1242916151991869e-05	9	3	0.003093608839036477	ENSG00000074800, ENSG00000102144, ENSG00000111640
ALL	29	48	6.087	GO:0009135	BP	e	purine nucleoside diphosphate metabolic process	3/15	61/20424	1.1242916151991869e-05	8	3	0.003093608839036477	ENSG00000074800, ENSG00000102144, ENSG00000111640
ALL	29	49	2.224	GO:0009889	BP	e	regulation of biosynthetic process	11/15	4080/20424	1.2204949213703046e-05	4	11	0.00329940460410439	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	50	2.587	GO:0031324	BP	e	negative regulation of cellular metabolic process	9/15	2447/20424	1.2730995132291837e-05	5	9	0.0033822742067842228	ENSG00000074800, ENSG00000087510, ENSG00000091831, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	51	5.912	GO:0043627	BP	e	response to estrogen	3/15	69/20424	1.6309708912844127e-05	5	3	0.004259598383695172	ENSG00000091831, ENSG00000131759, ENSG00000136997
ALL	29	52	5.891	GO:0009185	BP	e	ribonucleoside diphosphate metabolic process	3/15	70/20424	1.7032479714822216e-05	8	3	0.004374224665428259	ENSG00000074800, ENSG00000102144, ENSG00000111640
ALL	29	53	5.832	GO:0043401	BP	e	steroid hormone mediated signaling pathway	3/15	73/20424	1.9326839073057682e-05	6	3	0.004768115825346545	ENSG00000082175, ENSG00000091831, ENSG00000140009
ALL	29	53	2.334	GO:0006355	BP	e	regulation of transcription, DNA-templated	10/15	3369/20424	1.9750341323042606e-05	9	10	0.004768115825346545	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	53	2.523	GO:0051239	BP	e	regulation of multicellular organismal process	9/15	2581/20424	1.9787961431477842e-05	3	9	0.004768115825346545	ENSG00000074800, ENSG00000091831, ENSG00000101412, ENSG00000102144, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000144381, ENSG00000159216
ALL	29	53	2.334	GO:1903506	BP	e	regulation of nucleic acid-templated transcription	10/15	3370/20424	1.980397253697053e-05	8	10	0.004768115825346545	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	54	2.33	GO:2001141	BP	e	regulation of RNA biosynthetic process	10/15	3379/20424	2.029243795681357e-05	7	10	0.004810556561177543	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	55	5.756	GO:0048145	BP	e	regulation of fibroblast proliferation	3/15	77/20424	2.2690621869321234e-05	5	3	0.005297572611884407	ENSG00000091831, ENSG00000101412, ENSG00000136997
ALL	29	57	1.993	GO:0051171	BP	e	regulation of nitrogen compound metabolic process	12/15	5482/20424	2.693659222962569e-05	4	12	0.006195014174123914	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
ALL	29	58	2.967	GO:0042981	BP	e	regulation of apoptotic process	7/15	1398/20424	2.736763075109735e-05	6	7	0.006197954514942838	ENSG00000074800, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000144381
ALL	29	58	2.961	GO:0051240	BP	e	positive regulation of multicellular organismal process	7/15	1404/20424	2.8141146347256827e-05	4	7	0.006197954514942838	ENSG00000074800, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000144381, ENSG00000159216
ALL	29	58	2.472	GO:0051716	BP	e	cellular response to stimulus	9/15	2694/20424	2.8156065678888875e-05	2	9	0.006197954514942838	ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000102144, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000144381
ALL	29	59	1.984	GO:0048522	BP	e	positive regulation of cellular process	12/15	5526/20424	2.94181700599806e-05	4	12	0.00638457158386255	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
ALL	29	60	2.942	GO:0043067	BP	e	regulation of programmed cell death	7/15	1426/20424	3.1135074120307066e-05	5	7	0.006663338293330716	ENSG00000074800, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000144381
ALL	29	61	3.274	GO:0003006	BP	e	developmental process involved in reproduction	6/15	942/20424	3.3120779944725525e-05	2	6	0.006991206824222953	ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101412, ENSG00000131759, ENSG00000136997
ALL	29	62	5.536	GO:0009132	BP	e	nucleoside diphosphate metabolic process	3/15	90/20424	3.6233084635412363e-05	7	3	0.007544805420906339	ENSG00000074800, ENSG00000102144, ENSG00000111640
ALL	29	63	1.963	GO:0080090	BP	e	regulation of primary metabolic process	12/15	5639/20424	3.675889876613927e-05	4	12	0.007552238281165867	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
ALL	29	64	7.718	GO:2001171	BP	e	positive regulation of ATP biosynthetic process	2/15	13/20424	3.9086423600788206e-05	11	2	0.007924772385059809	ENSG00000074800, ENSG00000136997
ALL	29	65	2.245	GO:0051252	BP	e	regulation of RNA metabolic process	10/15	3639/20424	3.982221010567135e-05	6	10	0.007935714134631806	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	65	4.369	GO:0048608	BP	e	reproductive structure development	4/15	277/20424	4.017040057766765e-05	3	4	0.007935714134631806	ENSG00000087510, ENSG00000091831, ENSG00000131759, ENSG00000136997
ALL	29	66	2.403	GO:1901360	BP	e	organic cyclic compound metabolic process	9/15	2857/20424	4.5537220601634366e-05	3	9	0.008779562622935323	ENSG00000074800, ENSG00000091831, ENSG00000101412, ENSG00000102144, ENSG00000111640, ENSG00000120158, ENSG00000131759, ENSG00000136997, ENSG00000144381
ALL	29	66	7.611	GO:0060252	BP	e	positive regulation of glial cell proliferation	2/15	14/20424	4.558147899505651e-05	9	2	0.008779562622935323	ENSG00000101412, ENSG00000136997
ALL	29	67	5.401	GO:1902106	BP	e	negative regulation of leukocyte differentiation	3/15	99/20424	4.818353059531667e-05	7	3	0.009166173122755982	ENSG00000131759, ENSG00000136997, ENSG00000159216
ALL	29	69	5.373	GO:0016052	BP	e	carbohydrate catabolic process	3/15	101/20424	5.1149211146381806e-05	4	3	0.00941950357261458	ENSG00000074800, ENSG00000102144, ENSG00000111640
ALL	29	69	5.373	GO:1903707	BP	e	negative regulation of hemopoiesis	3/15	101/20424	5.1149211146381806e-05	6	3	0.00941950357261458	ENSG00000131759, ENSG00000136997, ENSG00000159216
ALL	29	69	2.061	GO:0048523	BP	e	negative regulation of cellular process	11/15	4719/20424	5.256957325016549e-05	4	11	0.00941950357261458	ENSG00000074800, ENSG00000087510, ENSG00000091831, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000134533, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
ALL	29	69	7.512	GO:0010755	BP	e	regulation of plasminogen activation	2/15	15/20424	5.25716988282727e-05	8	2	0.00941950357261458	ENSG00000074800, ENSG00000159216
ALL	29	69	7.512	GO:0030852	BP	e	regulation of granulocyte differentiation	2/15	15/20424	5.25716988282727e-05	8	2	0.00941950357261458	ENSG00000131759, ENSG00000159216
ALL	29	70	5.332	GO:0071456	BP	e	cellular response to hypoxia	3/15	104/20424	5.581850876757145e-05	6	3	0.009886291972408144	ENSG00000101412, ENSG00000102144, ENSG00000136997
ALL	29	71	1.92	GO:0031323	BP	e	regulation of cellular metabolic process	12/15	5869/20424	5.697777965667415e-05	4	12	0.009976938712837408	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
ALL	29	72	2.823	GO:0010941	BP	e	regulation of cell death	7/15	1569/20424	5.7782998560581055e-05	4	7	0.010004249717078579	ENSG00000074800, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000144381
ALL	29	74	5.228	GO:0036294	BP	e	cellular response to decreased oxygen levels	3/15	112/20424	6.961584448862623e-05	5	3	0.011919006085836018	ENSG00000101412, ENSG00000102144, ENSG00000136997
ALL	29	75	2.17	GO:0019219	BP	e	regulation of nucleobase-containing compound metabolic process	10/15	3889/20424	7.24838308234471e-05	5	10	0.012158610454000893	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	75	5.203	GO:0046034	BP	e	ATP metabolic process	3/15	114/20424	7.338248894945052e-05	2	3	0.012158610454000893	ENSG00000074800, ENSG00000102144, ENSG00000111640
ALL	29	75	5.203	GO:0002761	BP	e	regulation of myeloid leukocyte differentiation	3/15	114/20424	7.338248894945052e-05	7	3	0.012158610454000893	ENSG00000131759, ENSG00000136997, ENSG00000159216
ALL	29	76	1.893	GO:0048518	BP	e	positive regulation of biological process	12/15	6020/20424	7.518499268934935e-05	3	12	0.01232473991861898	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
ALL	29	77	7.251	GO:0030728	BP	e	ovulation	2/15	18/20424	7.650701124206216e-05	3	2	0.012409437223462483	ENSG00000082175, ENSG00000136997
ALL	29	78	1.889	GO:0060255	BP	e	regulation of macromolecule metabolic process	12/15	6043/20424	7.837400577345334e-05	4	12	0.012579844322532735	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
ALL	29	80	7.1	GO:0030520	BP	e	intracellular estrogen receptor signaling pathway	2/15	20/20424	9.492810635685256e-05	8	2	0.014925991743395319	ENSG00000091831, ENSG00000140009
ALL	29	80	7.1	GO:2001169	BP	e	regulation of ATP biosynthetic process	2/15	20/20424	9.492810635685256e-05	10	2	0.014925991743395319	ENSG00000074800, ENSG00000136997
ALL	29	81	4.054	GO:0006091	BP	e	generation of precursor metabolites and energy	4/15	349/20424	9.855355286272646e-05	3	4	0.015339512081431837	ENSG00000074800, ENSG00000102144, ENSG00000111640, ENSG00000136997
ALL	29	82	5.052	GO:0071453	BP	e	cellular response to oxygen levels	3/15	127/20424	0.0001011541840810042	4	3	0.015586848225041937	ENSG00000101412, ENSG00000102144, ENSG00000136997
ALL	29	83	2.465	GO:0006139	BP	e	nucleobase-containing compound metabolic process	8/15	2409/20424	0.00011054750497003245	4	8	0.016865608951319108	ENSG00000074800, ENSG00000101412, ENSG00000102144, ENSG00000111640, ENSG00000120158, ENSG00000131759, ENSG00000136997, ENSG00000144381
ALL	29	84	3.381	GO:0030162	BP	e	regulation of proteolysis	5/15	723/20424	0.0001224804260505442	6	5	0.018502949853067014	ENSG00000074800, ENSG00000111640, ENSG00000136997, ENSG00000144381, ENSG00000159216
ALL	29	85	6.9	GO:0030810	BP	e	positive regulation of nucleotide biosynthetic process	2/15	23/20424	0.00012624345655814841	9	2	0.018704667520235665	ENSG00000074800, ENSG00000136997
ALL	29	85	6.9	GO:1900373	BP	e	positive regulation of purine nucleotide biosynthetic process	2/15	23/20424	0.00012624345655814841	10	2	0.018704667520235665	ENSG00000074800, ENSG00000136997
ALL	29	86	3.349	GO:0033993	BP	e	response to lipid	5/15	741/20424	0.00013751545442478955	4	5	0.020180720354586495	ENSG00000091831, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009
ALL	29	87	6.724	GO:0060251	BP	e	regulation of glial cell proliferation	2/15	26/20424	0.0001619641453033642	5	2	0.023544391650750368	ENSG00000101412, ENSG00000136997
ALL	29	88	2.391	GO:0046483	BP	e	heterocycle metabolic process	8/15	2566/20424	0.00017384679328895234	3	8	0.025035562969995012	ENSG00000074800, ENSG00000101412, ENSG00000102144, ENSG00000111640, ENSG00000120158, ENSG00000131759, ENSG00000136997, ENSG00000144381
ALL	29	89	1.804	GO:0019222	BP	e	regulation of metabolic process	12/15	6555/20424	0.00018902194839634737	3	12	0.02696888150777145	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000111640, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
ALL	29	90	1.916	GO:0050896	BP	e	response to stimulus	11/15	5402/20424	0.00019896430302002795	1	11	0.028126981148950556	ENSG00000074800, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000102144, ENSG00000111640, ENSG00000131759, ENSG00000134533, ENSG00000136997, ENSG00000140009, ENSG00000144381
ALL	29	91	2.364	GO:0006725	BP	e	cellular aromatic compound metabolic process	8/15	2625/20424	0.0002044333747975238	3	8	0.028637398838682222	ENSG00000074800, ENSG00000101412, ENSG00000102144, ENSG00000111640, ENSG00000120158, ENSG00000131759, ENSG00000136997, ENSG00000144381
ALL	29	92	3.232	GO:0010629	BP	e	negative regulation of gene expression	5/15	811/20424	0.00020997783520137675	6	5	0.029149085248810942	ENSG00000082175, ENSG00000091831, ENSG00000111640, ENSG00000131759, ENSG00000136997
ALL	29	93	3.205	GO:1901701	BP	e	cellular response to oxygen-containing compound	5/15	828/20424	0.00023133598070702237	4	5	0.03182728684566525	ENSG00000091831, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009
ALL	29	95	3.683	GO:0001819	BP	e	positive regulation of cytokine production	4/15	460/20424	0.00028460909098933766	7	4	0.03881010161995314	ENSG00000111640, ENSG00000131759, ENSG00000144381, ENSG00000159216
ALL	29	96	3.677	GO:0005975	BP	e	carbohydrate metabolic process	4/15	462/20424	0.00028935551974907146	3	4	0.03911122108608282	ENSG00000074800, ENSG00000102144, ENSG00000111640, ENSG00000136997
ALL	29	97	6.3	GO:1903580	BP	e	positive regulation of ATP metabolic process	2/15	35/20424	0.0002953888881118637	5	2	0.039396491813601366	ENSG00000074800, ENSG00000136997
ALL	29	97	4.544	GO:0030308	BP	e	negative regulation of cell growth	3/15	183/20424	0.0002974160953954345	6	3	0.039396491813601366	ENSG00000074800, ENSG00000134533, ENSG00000140009
ALL	29	97	3.134	GO:0051093	BP	e	negative regulation of developmental process	5/15	875/20424	0.0002991361893822675	4	5	0.039396491813601366	ENSG00000101412, ENSG00000102144, ENSG00000131759, ENSG00000136997, ENSG00000159216
ALL	29	98	3.651	GO:0008283	BP	e	cell population proliferation	4/15	471/20424	0.00031142510773543586	2	4	0.04066736851775704	ENSG00000091831, ENSG00000136997, ENSG00000144381, ENSG00000159216
ALL	29	99	6.183	GO:1900371	BP	e	regulation of purine nucleotide biosynthetic process	2/15	38/20424	0.0003485618007749555	9	2	0.045134359564212516	ENSG00000074800, ENSG00000136997
ALL	29	100	6.146	GO:0030808	BP	e	regulation of nucleotide biosynthetic process	2/15	39/20424	0.00036724715398441486	8	2	0.047057405883623275	ENSG00000074800, ENSG00000136997
ALL	29	100	2.726	GO:0022414	BP	e	reproductive process	6/15	1455/20424	0.00036952080679592556	1	6	0.047057405883623275	ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101412, ENSG00000131759, ENSG00000136997
ALL	29	101	3.588	GO:0043065	BP	e	positive regulation of apoptotic process	4/15	494/20424	0.00037332328787947384	7	4	0.047151955269957475	ENSG00000101057, ENSG00000101412, ENSG00000136997, ENSG00000144381
ALL	29	25	3.454	GO:0000785	CC	e	chromatin	8/15	1094/20424	3.0340790815402984e-07	2	8	0.0005989272106960549	ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	56	2.304	GO:0005654	CC	e	nucleoplasm	11/15	3804/20424	5.990958405782249e-06	2	11	0.00591307594650708	ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000120158, ENSG00000131759, ENSG00000134533, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	73	3.888	GO:0005667	CC	e	transcription regulator complex	5/15	493/20424	1.973838507416018e-05	2	5	0.011500117281900106	ENSG00000091831, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000159216
ALL	29	73	4.561	GO:0090575	CC	e	RNA polymerase II transcription regulator complex	4/15	241/20424	2.330317584984824e-05	3	4	0.011500117281900106	ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000159216
ALL	29	1	3.404	GO:1990837	MF	e	sequence-specific double-stranded DNA binding	11/15	1563/20424	5.218946892831091e-10	6	11	1.6594516199485218e-06	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
ALL	29	1	3.328	GO:0003690	MF	e	double-stranded DNA binding	11/15	1657/20424	9.762603127533416e-10	5	11	1.6594516199485218e-06	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
ALL	29	1	3.321	GO:0043565	MF	e	sequence-specific DNA binding	11/15	1665/20424	1.0279485566478557e-09	5	11	1.6594516199485218e-06	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
ALL	29	2	3.457	GO:0000981	MF	e	DNA-binding transcription factor activity, RNA polymerase II-specific	10/15	1364/20424	3.76683907691317e-09	3	10	4.311812415761945e-06	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	2	3.412	GO:0000977	MF	e	RNA polymerase II transcription regulatory region sequence-specific DNA binding	10/15	1412/20424	5.2690905687744834e-09	8	10	4.311812415761945e-06	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	2	3.41	GO:0003700	MF	e	DNA-binding transcription factor activity	10/15	1414/20424	5.341910901212403e-09	2	10	4.311812415761945e-06	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	3	3.328	GO:0000976	MF	e	transcription regulatory region sequence-specific DNA binding	10/15	1506/20424	9.83586188187082e-09	7	10	5.834236169446546e-06	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	3	3.326	GO:0001067	MF	e	regulatory region nucleic acid binding	10/15	1508/20424	9.962921334786943e-09	4	10	5.834236169446546e-06	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	3	6.001	GO:0001221	MF	e	transcription coregulator binding	5/15	108/20424	1.084206597667126e-08	4	5	5.834236169446546e-06	ENSG00000074800, ENSG00000082175, ENSG00000091831, ENSG00000131759, ENSG00000136997
ALL	29	4	4.441	GO:0001216	MF	e	DNA-binding transcription activator activity	7/15	460/20424	1.5464831350700054e-08	3	7	7.4896178231440365e-06	ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000136997, ENSG00000159216
ALL	29	5	3.491	GO:0000978	MF	e	RNA polymerase II cis-regulatory region sequence-specific DNA binding	9/15	1196/20424	2.8543790263362697e-08	9	9	1.2567052385951412e-05	ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	6	3.468	GO:0000987	MF	e	cis-regulatory region sequence-specific DNA binding	9/15	1217/20424	3.320728879681086e-08	8	9	1.3401908303579585e-05	ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	7	6.697	GO:0004879	MF	e	nuclear receptor activity	4/15	53/20424	5.3993145229059086e-08	4	4	1.8677771596023797e-05	ENSG00000082175, ENSG00000091831, ENSG00000131759, ENSG00000140009
ALL	29	7	6.697	GO:0098531	MF	e	ligand-activated transcription factor activity	4/15	53/20424	5.3993145229059086e-08	3	4	1.8677771596023797e-05	ENSG00000082175, ENSG00000091831, ENSG00000131759, ENSG00000140009
ALL	29	8	2.819	GO:0003677	MF	e	DNA binding	11/15	2473/20424	6.875206105312566e-08	4	11	2.219774877868584e-05	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
ALL	29	9	4.096	GO:0008134	MF	e	transcription factor binding	7/15	592/20424	8.723648757412889e-08	3	7	2.640539433259414e-05	ENSG00000074800, ENSG00000082175, ENSG00000091831, ENSG00000101412, ENSG00000131759, ENSG00000134533, ENSG00000136997
ALL	29	10	3.017	GO:0140110	MF	e	transcription regulator activity	10/15	1919/20424	1.0116409499004417e-07	1	10	2.8819865413928463e-05	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000159216
ALL	29	11	2.085	GO:1901363	MF	e	heterocyclic compound binding	14/15	5879/20424	2.910500658967116e-07	2	14	7.830863717432079e-05	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000102144, ENSG00000111640, ENSG00000131759, ENSG00000134533, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
ALL	29	12	2.071	GO:0097159	MF	e	organic cyclic compound binding	14/15	5956/20424	3.475979719769675e-07	2	14	8.860089359391861e-05	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000102144, ENSG00000111640, ENSG00000131759, ENSG00000134533, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
ALL	29	13	4.242	GO:0001228	MF	e	DNA-binding transcription activator activity, RNA polymerase II-specific	6/15	456/20424	5.056945238971823e-07	4	6	0.0001224539289617027	ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000136997, ENSG00000159216
ALL	29	14	7.42	GO:0003707	MF	e	steroid hormone receptor activity	3/15	24/20424	6.426785327429654e-07	3	3	0.00014821391114638958	ENSG00000082175, ENSG00000091831, ENSG00000140009
ALL	29	16	9.828	GO:0030284	MF	e	estrogen receptor activity	2/15	3/20424	1.5097181136013895e-06	4	2	0.00033234385564416037	ENSG00000091831, ENSG00000140009
ALL	29	27	9.413	GO:0034056	MF	e	estrogen response element binding	2/15	4/20424	3.0181548629868964e-06	10	2	0.0006286073860969251	ENSG00000091831, ENSG00000140009
ALL	29	27	6.688	GO:0001223	MF	e	transcription coactivator binding	3/15	40/20424	3.1151305526174276e-06	5	3	0.0006286073860969251	ENSG00000082175, ENSG00000091831, ENSG00000131759
ALL	29	38	2.257	GO:0003676	MF	e	nucleic acid binding	11/15	3963/20424	9.087291013478924e-06	3	11	0.0017603900151311371	ENSG00000074800, ENSG00000082175, ENSG00000087510, ENSG00000091831, ENSG00000101057, ENSG00000101412, ENSG00000131759, ENSG00000136997, ENSG00000140009, ENSG00000144381, ENSG00000159216
ALL	29	68	5.387	GO:0005496	MF	e	steroid binding	3/15	100/20424	4.965183053234138e-05	3	3	0.009248608279543435	ENSG00000082175, ENSG00000091831, ENSG00000140009
ALL	29	79	4.15	GO:0001217	MF	e	DNA-binding transcription repressor activity	4/15	325/20424	7.479545373602392e-05	3	4	0.013416088238650514	ENSG00000074800, ENSG00000087510, ENSG00000131759, ENSG00000136997
ALL	29	94	3.267	GO:0008289	MF	e	lipid binding	5/15	789/20424	0.00018462831270463516	2	5	0.031934104229591004	ENSG00000082175, ENSG00000091831, ENSG00000131759, ENSG00000140009, ENSG00000144381
ALL	29	102	3.66	GO:0140297	MF	e	DNA-binding transcription factor binding	4/15	468/20424	0.00030393813856413495	4	4	0.04958131997643861	ENSG00000091831, ENSG00000101412, ENSG00000134533, ENSG00000136997
ALL	29	102	2.503	GO:0019899	MF	e	enzyme binding	7/15	2041/20424	0.0003071318602711456	3	7	0.04958131997643861	ENSG00000074800, ENSG00000082175, ENSG00000091831, ENSG00000101412, ENSG00000131759, ENSG00000140009, ENSG00000144381
ALL	7	1	7.405	GO:0001654	BP	e	eye development	4/5	97/20424	2.3814615740540154e-09	5	4	3.669594139459832e-05	ENSG00000105717, ENSG00000134138, ENSG00000167081, ENSG00000185630
ALL	7	2	7.019	GO:0007423	BP	e	sensory organ development	4/5	127/20424	7.094838485953005e-09	4	4	5.4662183115024926e-05	ENSG00000105717, ENSG00000134138, ENSG00000167081, ENSG00000185630
ALL	7	3	6.11	GO:0007420	BP	e	brain development	4/5	240/20424	9.21371425617074e-08	4	4	0.0004732470765777831	ENSG00000105717, ENSG00000134138, ENSG00000167081, ENSG00000185630
ALL	7	9	5.014	GO:0009887	BP	e	animal organ morphogenesis	4/5	522/20424	2.0668509515617392e-06	3	4	0.007962026578153711	ENSG00000105717, ENSG00000134138, ENSG00000167081, ENSG00000185630
ALL	7	10	6.438	GO:0048568	BP	e	embryonic organ development	3/5	143/20424	3.326656557068646e-06	4	3	0.010252090177574152	ENSG00000105717, ENSG00000167081, ENSG00000185630
ALL	7	12	6.332	GO:0048666	BP	e	neuron development	3/5	154/20424	4.157837772812739e-06	4	3	0.010678020373545248	ENSG00000105717, ENSG00000167081, ENSG00000185630
ALL	7	13	4.668	GO:0048468	BP	e	cell development	4/5	669/20424	5.55740957364428e-06	3	4	0.012233446302897815	ENSG00000105717, ENSG00000114861, ENSG00000167081, ENSG00000185630
